name,description,privacy
instructlab-admins,experiment with instructlab on OAI,closed
augur,RH ET Augur project authenticate to Cairo,closed
kruize-admins,,closed
slinky,team testing ROCE in barcelona,closed
nerc-ai4cloudops,,closed
nerc-curator,,closed
nerc-docs,Documentation maintainers,closed
nerc-infra-people,People who can authenticate to nerc-ocp-infra,closed
nerc-logs-metrics,Access to metrics and logs on the nerc-infra cluster,closed
nerc-obs-admins,Admin users for the observability cluster,closed
nerc-ops,NERC system operators,closed
nerc-prod-people,People who can authenticate to nerc-ocp-prod,closed
nerc-rhods,,closed
nerc-test-people,People who can authenticate to nerc-ocp-test,closed
nerc-test-perses,nerc-ocp-test cluster users who can create Perses resources,closed
redhat-support,red hat support team with temporary access to edu cluster,closed
nairr250426,Allow Efficient memory offloading project access to barcelona for RDMA,closed
nairr250245,Allow Efficient Time Series project access to barcelona for RDMA,closed
